UTM_X	UTM_Y	GDP值
519816.160870	4497669.506628	0.224154
520859.002914	4497473.890507	1.647725
521901.840772	4497278.311615	2.314819
522944.674461	4497082.769931	4.055708
523987.504000	4496887.265433	2.787898
525030.329406	4496691.798102	0.210896
526073.150697	4496496.367917	0.557368
527115.967891	4496300.974855	0.918904
463258.818598	4507426.747675	0.043944
464301.903895	4507229.080637	0.060524
465344.984041	4507031.451927	0.010820
466388.059052	4506833.861523	0.007521
467431.128946	4506636.309404	0.015064
468474.193741	4506438.795550	0.015064
469517.253454	4506241.319939	0.301280
470560.308103	4506043.882551	0.090254
471603.357707	4505846.483365	0.011282
472646.402281	4505649.122360	0.007521
473689.441845	4505451.799516	0.022563
491420.364859	4502103.129503	0.064225
492463.317245	4501906.489981	0.155493
504978.386263	4499549.755381	0.148732
506021.279249	4499353.605170	0.841073
507064.167791	4499157.492452	0.918904
508107.051904	4498961.417206	0.753200
509149.931608	4498765.379412	9.303931
510192.806920	4498569.379049	0.225634
511235.677857	4498373.416095	0.150640
512278.544437	4498177.490530	0.105448
513321.406678	4497981.602333	0.813456
514364.264597	4497785.751483	0.426813
515407.118213	4497589.937960	0.287576
516449.967543	4497394.161742	0.016916
517492.812605	4497198.422809	0.015064
518535.653416	4497002.721139	0.070299
519578.489994	4496807.056712	0.110525
520621.322357	4496611.429506	0.317079
521664.150523	4496415.839502	0.526115
522706.974509	4496220.286678	0.200853
523749.794333	4496024.771013	0.045192
460935.490513	4506960.316508	0.018754
461978.577115	4506762.563240	0.106274
463021.658518	4506564.848313	4.587917
464064.734740	4506367.171706	1.035676
465107.805798	4506169.533398	0.341762
466150.871710	4505971.933368	0.051067
467193.932493	4505774.371596	0.150423
468236.988167	4505576.848060	0.011901
469280.038747	4505379.362740	0.012553
470323.084251	4505181.915615	0.120512
471366.124698	4504984.506663	0.011282
490140.007998	4501437.649572	0.003380
491182.955704	4501240.961971	0.016901
492225.898704	4501044.312127	0.449578
503697.966279	4498883.649870	0.030423
504740.854206	4498687.451488	0.253521
505783.737659	4498491.290593	0.888776
506826.616655	4498295.167163	1.280440
507869.491212	4498099.081178	0.692944
508912.361347	4497903.032616	1.239364
509955.227079	4497707.021457	0.882468
510998.088425	4497511.047680	0.060823
512040.945403	4497315.111264	0.037660
513083.798031	4497119.212189	1.203059
514126.646325	4496923.350432	0.421792
515169.490305	4496727.525974	0.059207
516212.329987	4496531.738794	0.050749
517255.165389	4496335.988870	0.165704
518297.996529	4496140.276182	0.120512
519340.823426	4495944.600710	0.228929
520383.646095	4495748.962431	7.269605
521426.464556	4495553.361325	0.080095
452353.543607	4507681.913442	0.015064
453396.663461	4507483.843419	0.045192
460698.353586	4506098.429512	0.025006
461741.431122	4505900.666741	0.102071
462784.503447	4505702.942282	24.559856
463827.570580	4505505.256115	0.049495
464870.632538	4505307.608220	0.512176
465913.689338	4505109.998575	0.281690
466956.740999	4504912.427159	0.210592
467999.787537	4504714.893952	0.037606
469042.828971	4504517.398933	0.009401
470085.865318	4504319.942081	1.714819
471128.896596	4504122.523376	0.112817
472171.922822	4503925.142796	0.010573
488859.669840	4500772.221572	0.008251
489902.612892	4500575.485937	0.006761
490945.551211	4500378.788052	0.027042
503460.448254	4498021.350373	0.099017
504503.326646	4497825.141346	0.284673
505546.200552	4497628.969777	0.262560
506589.069990	4497432.835645	0.512176
507631.934978	4497236.738931	0.843584
508674.795532	4497040.679612	52.490452
509717.651672	4496844.657668	1.380545
510760.503415	4496648.673078	0.126766
511803.350777	4496452.725822	0.146043
512846.193778	4496256.815878	0.114578
513889.032435	4496060.943225	2.005047
514931.866765	4495865.107843	5.317944
515974.696787	4495669.309711	0.030128
517017.522517	4495473.548808	0.015064
518060.343974	4495277.825113	0.030128
519103.161175	4495082.138605	0.527240
520145.974139	4494886.489263	0.120512
521188.782883	4494690.877066	0.020085
522231.587424	4494495.301994	0.120512
443771.401818	4508406.115775	0.045192
444814.556223	4508207.728121	0.200853
445857.705125	4508009.379085	0.079706
453159.594807	4506622.015387	0.030128
454202.700311	4506423.974545	5.302526
455245.800470	4506225.972134	0.016901
460461.221703	4505236.535808	0.050704
461504.290160	4505038.763543	0.039114
462547.353396	4504841.029563	68.874397
463590.411427	4504643.333848	0.326669
464633.464272	4504445.676375	1.447648
465676.511948	4504248.057126	0.125029
466719.554472	4504050.476077	0.004689
468805.624138	4503655.428503	0.009401
469848.651315	4503457.961934	0.331408
470891.673411	4503260.533485	0.015064
