地址	城市	lat_transformed	lon_transformed	Price
北京市昌平区水利局宿舍	北京市	433861.23469459696	4451848.276170208	29133.0
北京市昌平区钰阳阁	北京市	433731.98367351585	4451781.909731989	32426.0
北京市昌平区西环路甲2号	北京市	433779.3425790651	4453262.537011951	28261.0
北京市昌平区北环路	北京市	434266.4916271274	4453375.476140324	32172.0
北京市昌平区弘大路	北京市	433758.4379892886	4453484.780167237	25365.0
北京市亦庄开发区区贵园北里戊区	北京市	454762.0110962121	4405244.682377154	53229.0
北京市亦庄开发区区贵园北里甲区	北京市	454992.39713892026	4405278.011677709	48798.0
北京市亦庄开发区区贵园东里	北京市	455305.9309035477	4405423.71808934	49125.0
北京市亦庄开发区区贵园南里甲区	北京市	455189.13839732757	4405017.7815098865	48762.0
北京市亦庄开发区区贵园南里丙区	北京市	455337.40020328236	4404722.153252465	48863.0
北京市亦庄开发区区贵园南里丁区	北京市	454959.90631334967	4404800.539665545	49842.0
北京市亦庄开发区区贵园南里乙区	北京市	455265.1510519505	4404876.34352624	49377.0
北京市亦庄开发区区富源里	北京市	454662.13049481355	4405651.3213080885	48371.0
北京市亦庄开发区区中央公馆	北京市	455988.3941649527	4405159.333808615	40117.0
北京市亦庄开发区区星岛嘉园	北京市	454765.06382551964	4405474.513507789	48690.0
北京市亦庄开发区区星岛假日	北京市	455207.08296111843	4405762.526996013	55657.0
北京市亦庄开发区区新干部楼	北京市	466249.9303110389	4442311.471826319	51075.0
北京市亦庄开发区区小康家园	北京市	458534.91702592	4407819.336704311	34449.0
北京市亦庄开发区区新康家园	北京市	455693.90429192444	4405541.896897772	50718.0
北京市亦庄开发区区小康东里	北京市	458701.310723019	4407841.566826126	39708.0
北京市亦庄开发区区境界	北京市	455477.54348517896	4405093.976314247	48394.0
北京市亦庄开发区区金色漫香林二期	北京市	458506.219850022	4408236.787482887	50181.0
北京市亦庄开发区区金色漫香林三期	北京市	458169.6049081777	4407897.558763023	52618.0
