lon	lat	Level1	Level2
4381592.434455583	390589.09431796614	4	10
4380902.345797219	389814.0776636476	4	7
4379764.869252938	403671.1373346404	4	6
4378920.194828477	400289.60135220614	2	3
4375906.317656776	394414.08058848826	0	0
4374749.577752917	397368.64575915027	0	0
4377779.361470427	396623.9938049537	2	3
4377275.189681053	393609.86194709776	4	10
4381065.266185954	403906.8181608042	0	0
4382979.501385893	396638.57922771515	4	10
4380468.747940712	392102.50057213404	4	8
4380502.194073612	394407.11673085793	3	5
4380259.330807374	397939.90935431136	4	6
4380799.948681942	396807.1883258128	4	6
4382907.103303941	398552.87157847494	4	10
4383134.668689591	400456.7920613965	4	10
4381837.208701668	404071.88226278493	0	0
4380992.196609908	410839.1317634707	2	3
4385471.967300119	403219.7385811633	4	10
4383783.107626709	404274.85087540344	4	10
4383101.826225522	403886.5295874345	4	10
4383541.8139394475	401736.1184460179	4	10
4382843.159171658	402176.8877301334	4	10
4382473.890457988	402941.1296056739	4	10
4382244.750510023	403912.66470168193	2	3
4382144.597561752	417343.7622688976	0	0
4383098.352258063	406330.6923359105	0	0
4383822.256421318	409681.75069868594	0	0
4382644.16775984	410387.50284482475	0	0
4381987.133557852	409612.52964831155	4	7
4385024.765574043	405466.8301074162	4	9
4383159.610741979	414907.59711574385	4	10
4382454.536737696	417567.54750175466	4	10
4382450.722685745	417736.406516791	4	8
4382751.88942971	411071.93628446537	4	7
4383451.509219067	413670.3289158571	4	10
4383278.315787669	414025.8734099177	4	10
4382946.243852404	414878.8999503096	4	10
4381971.72687323	414484.7738946693	0	0
4382886.14073077	416185.0703703368	4	10
4376251.473533198	441423.2454970679	4	10
4383610.8123051515	413833.88288262516	4	6
4383832.262140532	413434.2104442138	4	10
4376638.729523745	441358.81646561547	4	10
4382720.291806485	417671.85581681755	4	7
4383198.005678024	416187.4896856548	4	7
4376658.5089694755	441597.5820765463	4	10
4377369.401207022	437087.6269660912	4	10
4376651.769410495	441814.5863398046	4	10
4382921.201299811	415406.2812646549	0	0
4383847.572699296	413918.23520036356	4	9
4376676.566006872	441939.67492577084	4	10
4376709.071015456	442086.43838327774	4	10
4383560.488138696	414678.9173701073	4	10
4383663.690186382	415494.3511079942	0	0
4383375.807248825	415998.18097419356	0	0
4385855.498463052	404911.53128509247	4	7
4386394.201604988	406249.12027900974	4	10
4385638.749146201	403380.7394586409	4	10
4382540.203524798	416776.9050636556	0	0
4382795.7197298575	417908.3779118609	4	7
4382300.250827261	417325.29681180284	4	7
4383570.881086222	417580.8857331931	0	0
4383410.669201828	418878.9712253307	4	10
4377760.273296023	440732.91000969335	4	10
4377714.923035944	439451.83861039684	4	10
4377688.729394598	438147.09484510496	2	3
4383472.246133282	418799.30959005764	4	10
4383923.238333445	416487.4508710404	0	0
4383592.530276783	418206.817961239	4	10
4386643.270953392	406338.3833942163	4	10
4377236.183579642	443297.4652351968	4	10
4376638.038326685	441008.67128300306	4	10
4377434.249681829	443381.0367842147	4	10
4377458.075445035	443079.5546969348	4	10
4377346.949484478	443536.1373476768	4	10
4378049.314409971	441571.01766875177	4	10
4377582.303721876	443267.16168282775	0	0
4385352.9559299	408367.22835063026	2	3
4385480.278249692	402055.8141040227	4	7
4383630.442978949	401499.98333063856	4	10
4383410.068460431	400128.3251751474	4	10
4383173.777120497	397903.32715177356	4	10
4377595.341595884	443372.9915218766	4	10
4384705.50839845	416235.6060904281	4	10
4377105.776854253	443445.12858433725	4	10
4376501.773010274	441707.77577402245	3	5
4377486.426353101	441919.68543247634	4	10
4377762.400031121	442956.87951350026	4	10
4384849.314779184	416281.11779166124	2	3
4377778.648059159	443254.5725628472	4	7
4377733.09972986	443503.4954741102	2	3
4378118.469870759	437569.96239067084	3	5
4378119.227464467	441236.48791248584	3	5
4385187.341683974	416283.968780493	4	10
4385141.275505527	416377.54625608656	4	7
4378599.423375601	441488.9258766329	4	10
4377822.308141488	444004.1408377535	4	7
4386543.180442168	411322.52093239175	4	10
4385423.509674175	416745.78595739533	4	10
4385351.332797286	416854.28184851434	4	10
4378142.175529113	442183.135102675	4	10
4385768.988873336	411180.88229512115	4	6
4385312.0338652	412517.9572437284	4	10
4384386.129419699	413084.8634028339	4	10
4384055.956050778	411184.49485744914	4	6
4386607.320343511	412341.1321220398	4	10
